trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-146.61059352167098,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-73.83786214884414,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-75.64701628111135,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-85.89817142894131,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-107.63334501387426,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-109.69473711830155,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,17,-30.54399540296223,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-30.884914673326463,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,9,-86.32139471022943,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-58.42665723934764,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-65.5480458623743,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-87.36591207644808,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-2.9907819102441575,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-78.43517939326361,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-14.926534646988541,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-105.75623503364052,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,27.008292861468963,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,32.326611026889786,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-19.34321162134289,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,32.88904647455209,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,10,18.654742750575185,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,4,22.213005916291678,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,4,-88.2350271885488,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",25,5,23.904260276587443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,5,-88.49746819333984,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",25,0,9.295833854901014,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,11,24.478928138898997,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,9,30.34005651206122,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,29.596152183628135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,27.198847369980093,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,0,30.639811886432902,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",20,0,27.861682603709934,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,1,30.42907701395947,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,0,-126.39543513383767,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
15,True,"{'a': 0, 'e': 0}",25,14,14.404429207966523,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,7,28.324274426185887,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,0,-19.20812325968536,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",25,11,10.655202656388518,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,3,31.99288376490596,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,0,7.5454591873060926,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
21,True,"{'a': 0, 'e': 0}",20,8,-20.95788942911495,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,True,"{'a': 0, 'e': 0}",20,3,-42.54540753703515,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
