trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-82.70800734254881,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.998}",20,0,-102.57661041452465,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997}",25,0,-117.5147927997003,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-150.23618973935993,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,0,-289.50119807248655,"{0: 9, 1: 3, 2: 6, 3: 3, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.994}",20,0,-49.53186209683437,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-85.2906829343407,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992}",25,4,-91.86024475959832,"{0: 11, 1: 4, 2: 4, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-132.61671801803635,"{0: 13, 1: 1, 2: 8, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.99}",25,0,-177.0974060847506,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.989}",20,0,-106.55729103750731,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.988}",20,3,-80.42971445126491,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-135.53077338886445,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,0,-126.53095569064361,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
