trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.82453787790553,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,13,-2.229748026099447,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.25535491009198,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.7803635656973,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.25177109750312,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.30346684371773,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.1163899348369,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.12517900437048,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.610264703112584,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.44297545291568,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.45890201059348,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.26191117201423,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.39602001136802,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,13,-33.18298145485548,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.02715032251737,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,17,-25.196811558633186,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-9.864071223277254,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.95490465241045,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.35161368875143,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.30015344730765,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.52293541557977,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.2030364661592,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.40536215647464,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,4,-97.95009697269904,"{0: 9, 1: 1, 2: 3, 3: 2, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.3273479475142,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.87528516036434,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.05081949171337,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,6,-84.2330241483448,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.21659173697667,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.49633208480385,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
